sent_id,src_text,tgt_text,term_src,term_tgt,type,note
1,"{'start_ms': 220, 'end_ms': 2180, 'text': '第254窟。'}","{'start_ms': 960, 'end_ms': 2900, 'text': '第254号石窟。'}",第254窟,第254号石窟,name,
2,"{'start_ms': 3720, 'end_ms': 9820, 'text': '南壁には悟りを求める釈尊が悪魔と戦う様が描かれている。'}","{'start_ms': 5120, 'end_ms': 10740, 'text': '南壁上画着求悟的释迦牟尼与恶魔战斗的情形。'}",南壁,南壁,cul,
2,"{'start_ms': 3720, 'end_ms': 9820, 'text': '南壁には悟りを求める釈尊が悪魔と戦う様が描かれている。'}","{'start_ms': 5120, 'end_ms': 10740, 'text': '南壁上画着求悟的释迦牟尼与恶魔战斗的情形。'}",悟り,求悟,cul,
2,"{'start_ms': 3720, 'end_ms': 9820, 'text': '南壁には悟りを求める釈尊が悪魔と戦う様が描かれている。'}","{'start_ms': 5120, 'end_ms': 10740, 'text': '南壁上画着求悟的释迦牟尼与恶魔战斗的情形。'}",釈尊,释迦牟尼,name,
2,"{'start_ms': 3720, 'end_ms': 9820, 'text': '南壁には悟りを求める釈尊が悪魔と戦う様が描かれている。'}","{'start_ms': 5120, 'end_ms': 10740, 'text': '南壁上画着求悟的释迦牟尼与恶魔战斗的情形。'}",悪魔,恶魔,cul,
3,"{'start_ms': 10760, 'end_ms': 11680, 'text': '「降魔」。'}","{'start_ms': 11700, 'end_ms': 12620, 'text': '“降魔”。'}",降魔,降魔,cul,
4,"{'start_ms': 12720, 'end_ms': 16000, 'text': '菩提樹の下で瞑想を続ける釈尊。'}","{'start_ms': 13920, 'end_ms': 17480, 'text': '在菩提树下坚持冥想的释迦牟尼。'}",菩提樹,菩提树,cul,
6,"{'start_ms': 23980, 'end_ms': 26920, 'text': '魔王が悪魔の大軍を率いて押し寄せる。'}","{'start_ms': 25700, 'end_ms': 28520, 'text': '魔王率领恶魔大军杀奔过来。'}",魔王,魔王,cul,
6,"{'start_ms': 23980, 'end_ms': 26920, 'text': '魔王が悪魔の大軍を率いて押し寄せる。'}","{'start_ms': 25700, 'end_ms': 28520, 'text': '魔王率领恶魔大军杀奔过来。'}",悪魔の大軍,恶魔大军,cul,
7,"{'start_ms': 38140, 'end_ms': 40100, 'text': '武力で威嚇する悪魔たち。'}","{'start_ms': 39440, 'end_ms': 42320, 'text': '以武力相威胁的恶魔们。'}",武力,武力,term,
7,"{'start_ms': 38140, 'end_ms': 40100, 'text': '武力で威嚇する悪魔たち。'}","{'start_ms': 39440, 'end_ms': 42320, 'text': '以武力相威胁的恶魔们。'}",悪魔たち,恶魔们,cul,
12,"{'start_ms': 63700, 'end_ms': 67900, 'text': '魔王の娘たちは妖艶な美女に姿を変え、'}","{'start_ms': 65020, 'end_ms': 68580, 'text': '魔王的女儿们化身成妖艳的美女,'}",妖艶な美女,妖艳的美女,cul,
15,"{'start_ms': 82060, 'end_ms': 83740, 'text': '降魔印を結ぶ。'}","{'start_ms': 83360, 'end_ms': 84740, 'text': '结降魔印。'}",降魔印,降魔印,cul,
15,"{'start_ms': 82060, 'end_ms': 83740, 'text': '降魔印を結ぶ。'}","{'start_ms': 83360, 'end_ms': 84740, 'text': '结降魔印。'}",降魔印を結ぶ,结降魔印,cul,
20,"{'start_ms': 121880, 'end_ms': 125540, 'text': 'それはすなわち自らの煩悩であった。'}","{'start_ms': 123480, 'end_ms': 125780, 'text': '即是自己心中的烦恼。'}",煩悩,烦恼,cul,
